ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation,MD5checksum
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k5-1_ind_4,Secondary cell wall from control tree k5 zone 1technical replicate 1,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k5-1_ind_4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,2903f2c399bba82f31450c944e5a4f9a
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k5-1_ind_4,Secondary cell wall from control tree k5 zone 1technical replicate 1,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k5-1_ind_4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,095b1943143184bb98a45e827f32230b
Aspen tension wood development gradient,7_110815_AB0B10ABXX_k5-1_ind_4,Secondary cell wall from control tree k5 zone 1technical replicate 2,2011-08-15T10:00:00,7_110815_AB0B10ABXX_k5-1_ind_4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,90bec7929174708b1af382083fe47736
Aspen tension wood development gradient,7_110815_AB0B10ABXX_k5-1_ind_4,Secondary cell wall from control tree k5 zone 1technical replicate 2,2011-08-15T10:00:00,7_110815_AB0B10ABXX_k5-1_ind_4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,0bb8a7103e62ae4535e4da37369ede52
Aspen tension wood development gradient,3_111130_BD07JJACXX_k5-2_index5,Secondary cell wall from control tree k5 zone 2technical replicate 1,2011-11-30T10:00:00,3_111130_BD07JJACXX_k5-2_index5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,a2ff29c24a9b8a5846a1ff9b362b4ca9
Aspen tension wood development gradient,3_111130_BD07JJACXX_k5-2_index5,Secondary cell wall from control tree k5 zone 2technical replicate 1,2011-11-30T10:00:00,3_111130_BD07JJACXX_k5-2_index5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,488e7e0da51166449bf5741374c3e221
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k5-2_ind_5,Secondary cell wall from control tree k5 zone 2technical replicate 2,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k5-2_ind_5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,aa4d2635b441f2ebacbb158947b473a2
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k5-2_ind_5,Secondary cell wall from control tree k5 zone 2technical replicate 2,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k5-2_ind_5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,f1f4546923124b308d3f33f6652ec693
Aspen tension wood development gradient,7_110815_AB0B10ABXX_k5-2_ind_5,Secondary cell wall from control tree k5 zone 2technical replicate 3,2011-08-15T10:00:00,7_110815_AB0B10ABXX_k5-2_ind_5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,9fd0ca8ae6c5a85f4e9d33bd1b8bd1ba
Aspen tension wood development gradient,7_110815_AB0B10ABXX_k5-2_ind_5,Secondary cell wall from control tree k5 zone 2technical replicate 3,2011-08-15T10:00:00,7_110815_AB0B10ABXX_k5-2_ind_5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,a5b4e1c1103a901da41e7c27cfb71169
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k5-3_ind_6,Secondary cell wall from control tree k5 zone 3technical replicate 1,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k5-3_ind_6_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,e8cb8d10f6c63afbd6f07b680341cdea
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k5-3_ind_6,Secondary cell wall from control tree k5 zone 3technical replicate 1,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k5-3_ind_6_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,841573e5beb05c24d526102007210839
Aspen tension wood development gradient,7_110815_AB0B10ABXX_k5-3_ind_6,Secondary cell wall from control tree k5 zone 3technical replicate 2,2011-08-15T10:00:00,7_110815_AB0B10ABXX_k5-3_ind_6_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,525a72f2338592fa1f9334832cddd118
Aspen tension wood development gradient,7_110815_AB0B10ABXX_k5-3_ind_6,Secondary cell wall from control tree k5 zone 3technical replicate 2,2011-08-15T10:00:00,7_110815_AB0B10ABXX_k5-3_ind_6_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,eb1230a2ef4eebc34cf875cc522d0105
Aspen tension wood development gradient,3_111130_BD07JJACXX_k8-1_index9,Secondary cell wall from control tree k8 zone 1technical replicate 1,2011-11-30T10:00:00,3_111130_BD07JJACXX_k8-1_index9_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,8c1617d6e313a6b06873061aff026e0a
Aspen tension wood development gradient,3_111130_BD07JJACXX_k8-1_index9,Secondary cell wall from control tree k8 zone 1technical replicate 1,2011-11-30T10:00:00,3_111130_BD07JJACXX_k8-1_index9_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,38fa4c4bd62dbd7781a8c9a135d7f02d
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k8-1_ind_7,Secondary cell wall from control tree k8 zone 1technical replicate 2,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k8-1_ind_7_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,7cb052a7e67d001f2e0a840f35aa0daf
Aspen tension wood development gradient,4_110707_BB0B0HABXX_k8-1_ind_7,Secondary cell wall from control tree k8 zone 1technical replicate 2,2011-07-07T10:00:00,4_110707_BB0B0HABXX_k8-1_ind_7_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,91f50662b7da8194dc2aa21e69a149b0
